"ID" "XGAUGE" "YGAUGE" "XCENT" "YCENT" "AREA" "River" "Station" "ME_MAX" "igroup.best" "TRAIN"
"282" 25440401 3825678.6960938 2571660.8649313 4142532.21329 2988147.89766 361.6 "Simmerbach" "KELLENBACH" 0.41451749816053 1 FALSE
"58" 563790 4172584.63457709 2758964.80402039 4519767.13311 3045518.02058 362 "Schwarzwasser" "AUE 1" 0.460903386953453 1 FALSE
"74" 572010 4098639.39948163 2650793.37742834 4421787.12605 3045765.23715 362 "Loquitz" "KAULSDORF-EICHICHT" 0.676670550131402 1 FALSE
"252" 24162206 4066297.49106604 2612357.98916691 4393985.66757 3027436.08325 365 "Itz" "COBURG" 0.64417782348984 1 TRUE
"320" 27140500 3823215.32360556 2632878.9938655 4122508.35524 3032061.46559 368.6 "Nettegut" "NETTEGUT" 0.663680879410193 1 TRUE
"254" 24167006 4057789.02426464 2604354.49135264 4374968.82946 3020563.15082 378 "Rodach" "HEINERSDORF" 0.538810444191973 1 TRUE
"308" 26420206 3829867.89727405 2508514.62388422 4153670.73942 2912677.41604 378.9 "Schwarzbach" "THALEISCHWEILER" 0.147421015799829 1 FALSE
"179" 12425002 4041994.11403391 2344459.50074648 4359410.0618 2722476.90809 379.92 "Lobach" "Leuterschach" -1.01935691751162 1 FALSE
"242" 23942300 3900394.52976407 2550519.75241449 4225221.84495 2943108.50793 383 "Weschnitz" "Lorsch" 0.724832222425235 1 TRUE
"66" 568140 4220658.0351757 2665478.15045576 4562787.77472 3065557.59079 385 "Flöha" "POCKAU" 0.56144509827478 1 FALSE
"160" 6342655 4109005.97338035 2417480.65083029 4415741.8463 2802870.35546 388.03 "Glonn" "HOHENKAMMER" 0.70779474294351 1 FALSE
"273" 24861407 3922412.31345186 2609754.62815944 4256413.28217 3026027.12203 393 "Nidder" "WINDECKEN" 0.7313153012625 1 FALSE
"201" 16402009 4079600.26141971 2317557.23547596 4396598.68755 2703774.89969 393.98 "Loisach" "Garmisch u. d. Partnachmündung" 0.705913872879222 1 TRUE
"43" 427010 3998495.29606676 2671744.98285152 4318740.90773 3059633.18229 399 "Ulster" "UNTERBREIZBACH-RAESA" 0.55547397645639 1 FALSE
"198" 16000708 4092481.23889975 2311050.73399905 4416922.0154 2696575.33962 404 "Isar" "MITTENWALD" 0.674432300300869 1 FALSE
"19" 1144 3987878.73196356 2395934.75843641 4303892.68349 2772459.82924 409 "Riß" "NIEDERKIRC" 0.466912734924512 1 FALSE
"151" 6340218 4001018.69138886 2949664.78985574 4317864.77411 3350891.4474 410.15 "Seeve" "JEHRDEN" 0.16032256859236 1 TRUE
"131" 6335603 3900728.44751885 2390309.71377982 4215160.22992 2780902.60434 410.76 "Neckar" "ROTTWEIL" 0.708202090449016 1 TRUE
"211" 16686008 4114337.82339179 2418157.19033879 4416863.77983 2803568.8409 411.05 "Glonn" "Hohenkammer" 0.443898535851584 1 FALSE
